AUD,2,Decimal Places
CAD,2,Decimal Places
CNY,2,Decimal Places
CZK,2,Decimal Places
DKK,2,Decimal Places
EUR,2,Decimal Places
GBP,2,Decimal Places
JPY,0,Decimal Places
NOK,2,Decimal Places
NZD,2,Decimal Places
USD,2,Decimal Places
